"art" "gebiet" "bhd" "alter"
"FI" "A" 25 63
"FI" "C" 23 55
"EI" "D" 30 60
"FI" "D" 27 65
"BU" "D" 27 52
"BU" "D" 31 48
"FI" "A" 26 74
"FI" "A" 31 71
"BU" "B" 29 50
"FI" "C" 20 40
"BI" "D" 14 29
"EI" "A" 28 67
"BU" "C" 33 65
"EI" "A" 36 94
"BU" "B" 25 50
"FI" "C" 24 NA
"BU" "B" 25 45
"FI" "A" 19 48
"BU" "D" 42 77
"FI" "B" 28 75
"FI" "C" 21 63
"EI" "B" 11 15
"EI" "C" 26 60
"TA" "C" 36 44
"BI" "B" 11 22
"FI" "C" 22 46
"FI" "A" 28 94
"FI" "B" 25 45
"FI" "C" 22 58
"FI" "A" 20 40
"BU" "D" 18 23
"TA" "B" 27 30
"FI" "A" 27 75
"EI" "B" 9 16
"FI" "B" 26 54
"BU" "A" 24 39
"FI" "D" 24 56
"EI" "D" 21 48
"FI" "B" 28 56
"FI" "A" 27 44
"EI" "D" 37 48
"EI" "C" 23 43
"BI" "C" 12 19
"BU" "B" 33 77
"BU" "C" 21 30
"FI" "C" 27 49
"FI" "B" 24 58
"BU" "B" 23 37
"BU" "A" 30 41
"BI" "A" 14 31
"BU" "B" 32 51
"BU" "B" 30 50
"BI" "A" 12 24
"FI" "B" 21 44
"BU" "B" 33 48
"EI" "D" 37 47
"BU" "C" 27 43
"BU" "B" 30 58
"FI" "B" 26 80
"FI" "B" 26 45
"EI" "D" 27 55
"TA" "B" 30 33
"BU" "A" 22 25
"FI" "B" 19 37
"FI" "C" 22 63
"FI" "B" 22 22
"EI" "D" 20 44
"BU" "A" 27 49
"BU" "A" 35 65
"EI" "C" 29 83
"EI" "A" 23 41
"EI" "D" 14 24
"BU" "A" 30 51
"BU" "A" 32 63
"FI" "B" 23 58
"FI" "C" 23 35
"TA" "A" 44 63
"BU" "A" 34 NA
"BU" "C" 23 38
"BU" "D" 37 70
"FI" "D" 26 64
"EI" "C" 26 51
"BU" "D" 32 40
"BU" "B" 34 65
"TA" "A" NA 23
"FI" "B" 21 53
"EI" "D" 26 57
"FI" "B" 28 71
"TA" "B" 32 39
"EI" "A" 37 63
"EI" "B" 26 66
"BU" "D" 35 61
"FI" "D" 23 58
"FI" "B" 25 65
"BU" "A" 42 88
"EI" "A" 24 53
"BU" "C" 29 45
"BU" "A" 36 78
"BU" "A" 38 63
"EI" "B" 29 44
"BU" "D" 21 42
"FI" "B" 20 41
"BU" "D" 37 63
"FI" "C" 28 82
"EI" "D" 24 27
"BU" "B" 41 81
"BU" "D" 27 32
"EI" "C" 34 43
"BI" "C" 17 36
"FI" "D" 27 54
"BU" "B" 37 66
"BU" "D" 36 52
"EI" "D" 17 41
"EI" "B" 38 83
"BU" "C" 31 NA
"EI" "B" 18 43
"FI" "C" 20 43
"BU" "B" 21 35
"BI" "B" 12 19
"TA" "D" 18 23
"BU" "C" 22 30
"EI" "A" 18 39
"EI" "C" 28 35
"TA" "A" 29 36
"FI" "B" 20 43
"EI" "A" 32 72
"EI" "D" 27 43
"FI" "C" 24 49
"FI" "B" 26 39
"FI" "C" 21 48
"BU" "A" 37 59
"EI" "C" 13 31
"FI" "B" 21 52
"EI" "C" 9 15
"BU" "C" 26 43
"FI" "D" 25 62
"FI" "D" 27 66
"BU" "A" 28 44
"FI" "B" 22 48
"EI" "C" 27 49
"EI" "A" 34 67
"EI" "C" 24 45
"BI" "C" 11 17
"FI" "A" 25 53
"EI" "D" 20 49
"BU" "A" 24 35
"TA" "C" 21 24
"EI" "C" 28 40
"BU" "C" 27 32
"EI" "B" 30 52
"EI" "D" 28 65
"FI" "C" 22 45
"FI" "B" 22 52
"FI" "A" 22 65
"FI" "C" 27 74
"BU" "B" 30 61
"FI" "B" 23 48
"EI" "D" 39 71
"FI" "C" 22 44
"EI" "B" 25 34
"BU" "D" 25 35
"FI" "B" 23 44
"FI" "C" 22 41
"FI" "D" 24 57
"BU" "A" 22 35
"EI" "A" 26 63
"BI" "C" 14 19
"BU" "B" 14 16
"BU" "C" 35 65
"FI" "A" 20 46
"TA" "B" 24 30
"FI" "A" 23 42
"BU" "D" 23 34
"BU" "A" 37 50
"BU" "B" 30 56
"EI" "A" 29 52
"EI" "A" 23 40
"EI" "A" 26 34
"BU" "A" 34 55
"FI" "A" 29 74
"FI" "C" 27 66
"EI" "C" 22 45
"FI" "A" 28 59
"BU" "A" 27 NA
"BU" "A" 27 51
"BU" "C" 19 26
"FI" "A" 31 77
"TA" "A" 29 27
"BU" "A" 24 32
"EI" "C" 25 39
"BU" "B" 21 35
"TA" "C" 38 49
"FI" "B" 26 68
"BU" "A" 30 53
"FI" "C" 23 47
"BU" "D" 23 25
"BU" "D" 39 60
"FI" "B" 25 51
"TA" "D" 24 32
"FI" "C" 24 58
"EI" "D" 9 10
"FI" "B" 22 55
"BU" "D" 33 46
"FI" "C" 20 43
"BU" "A" 31 53
"BU" "D" 24 44
"FI" "C" 22 53
"EI" "B" 30 56
"EI" "B" 26 38
"TA" "D" 19 22
"EI" "D" 21 42
"BI" "C" 13 25
"BU" "B" 29 60
"BU" "A" 28 41
"EI" "B" 15 28
"EI" "D" 26 46
"FI" "C" 18 38
"FI" "D" 17 25
"EI" "C" 24 34
"FI" "C" 18 39
"BU" "B" 30 61
"EI" "B" 29 61
"FI" "C" 23 54
"BI" "D" 18 29
"EI" "C" 19 36
"FI" "B" 27 63
"BU" "B" 24 42
"FI" "A" 24 62
"BI" "A" 14 28
"TA" "D" 17 14
"BU" "B" 32 52
"FI" "A" 27 55
"FI" "D" 29 64
"EI" "D" 18 45
"BU" "D" 29 56
"BI" "C" 10 13
"BU" "C" 35 85
"FI" "C" 24 43
"EI" "C" 27 58
"BU" "D" NA 55
"BI" "B" 11 15
"EI" "B" 24 54
"BU" "D" 41 67
"BI" "D" 12 20
"EI" "A" 30 36
"FI" "D" 21 57
"EI" "A" 21 42
"FI" "B" 22 52
"FI" "C" 26 80
"FI" "A" 28 63
"BU" "B" 24 37
"TA" "A" 30 37
"EI" "B" 28 60
"FI" "B" 25 65
"TA" "A" 26 25
"FI" "A" 29 61
"FI" "B" 23 21
"FI" "C" 24 65
"BU" "A" 33 70
"BU" "A" 18 25
"FI" "D" 23 37
"FI" "D" 25 54
"BI" "B" 14 25
"FI" "D" 25 57
"TA" "B" 20 29
"FI" "A" 26 68
"EI" "A" 37 59
"BU" "A" 31 55
"EI" "C" 17 29
"FI" "D" 21 45
"FI" "C" 21 48
"FI" "C" 21 53
"BU" "D" 39 58
"TA" "B" 20 23
"FI" "B" 18 31
"FI" "B" 22 54
"BU" "A" 19 28
"FI" "C" 23 46
"BU" "B" 26 55
"FI" "A" 24 39
"TA" "D" 31 31
"BU" "C" 36 64
"TA" "A" 12 13
"FI" "D" 24 79
"BU" "D" 37 64
"FI" "A" 22 42
"TA" "A" 38 44
"FI" "B" 21 56
"FI" "A" 20 24
