,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,RDSA,1,315394.909,9730340.44,0,0,0,0,0,NA,NA,NA,NA,NA
2,RDSA,2,318492.612,9722052.036,0,0,0,0,0,NA,NA,NA,NA,NA
3,RDSA,3,318153.76,9726243.605,0,0,0,0,0,NA,NA,NA,NA,NA
4,RDSA,4,316696.556,9721126.452,0,0,0,0,0,NA,NA,NA,NA,NA
5,RDSA,5,321291.624,9721334.553,0,1,0,0,0,NA,NA,NA,NA,NA
6,RDSA,6,313778.787,9725956.166,0,1,0,0,0,NA,NA,NA,NA,NA
7,RDSA,7,313053.383,9727914.726,0,1,0,0,0,NA,NA,NA,NA,NA
8,RDSA,8,316660.408,9725108.329,1,0,0,0,0,NA,NA,NA,NA,NA
9,RDSA,9,318889.929,9724510.662,0,1,0,0,0,NA,NA,NA,NA,NA
10,RDSA,10,319684.287,9720695.638,0,0,1,0,0,NA,NA,NA,NA,NA
11,RDSA,11,315033.119,9724364.303,0,0,0,0,0,NA,NA,NA,NA,NA
12,RDSA,12,320406.766,9724625.318,0,0,1,1,0,NA,NA,NA,NA,NA
13,RDSA,13,313699.711,9729584.186,0,0,1,0,0,NA,NA,NA,NA,NA
14,RDSA,14,318273.071,9729624.103,0,0,1,0,0,NA,NA,NA,NA,NA
15,RDSA,15,317418.753,9723449.5,0,0,0,0,0,NA,NA,NA,NA,NA
16,RDSA,16,319830.791,9726342.972,NA,NA,NA,NA,0,0,0,0,0,NA
17,RDSA,17,316708.783,9729151.128,1,0,1,1,1,NA,NA,NA,NA,NA
18,RDSA,18,315110.361,9728400.534,0,1,0,0,0,NA,NA,NA,NA,NA
19,RDSA,19,320299.945,9722861.492,0,0,0,0,0,NA,NA,NA,NA,NA
20,RDSA,20,321830.944,9723196.206,NA,NA,NA,NA,0,0,1,1,NA,NA
21,RDSA,21,319149.368,9727886.898,0,0,0,0,0,NA,NA,NA,NA,NA
22,RDSA,22,315545.918,9722535.976,0,0,0,0,0,NA,NA,NA,NA,NA
23,RDSA,23,315657.47,9726689.455,0,0,0,0,0,NA,NA,NA,NA,NA
24,RDSA,24,317939.532,9719676.136,0,0,0,0,0,NA,NA,NA,NA,NA
25,RDSA,25,317089.865,9727670.957,0,0,0,0,0,NA,NA,NA,NA,NA
26,RDSA,26,316955.662,9730992.555,0,1,0,0,0,NA,NA,NA,NA,NA
27,RDSA,27,323485.38,9725382.072,NA,NA,NA,NA,0,0,0,0,0,NA
28,RDSA,28,320304.211,9730320.981,NA,NA,NA,NA,0,1,0,0,NA,NA
29,RDSA,29,321458.168,9725192.75,NA,NA,NA,NA,0,0,0,0,NA,NA
30,RDSA,30,320932.309,9728709.535,NA,NA,NA,NA,0,0,0,0,NA,NA
31,RDSA,31,321329.101,9727074.595,NA,NA,NA,NA,1,0,0,0,NA,NA
32,RDSA,32,323615.765,9721482.255,NA,NA,NA,NA,0,0,1,1,NA,NA
33,RDSA,33,311964.166,9729076.657,0,0,0,1,0,NA,NA,NA,NA,NA
34,RDSA,34,320772.356,9732258.836,NA,NA,NA,NA,0,0,0,0,0,NA
35,RDSA,35,326877.116,9725610.57,NA,NA,NA,NA,0,1,0,0,0,NA
36,RDSA,36,323139.921,9727818.73,NA,NA,NA,NA,0,1,0,0,0,NA
37,RDSA,37,322783.046,9729577.555,NA,NA,NA,NA,0,1,0,0,0,NA
38,RDSA,38,325787.259,9721855.304,NA,NA,NA,NA,0,0,0,0,0,NA
39,RDSA,39,325689.396,9723711.721,NA,NA,NA,NA,0,0,1,0,0,NA
40,RDSA,40,325437.035,9725503.823,NA,NA,NA,NA,1,0,0,0,0,NA
41,RDSA,41,323333.611,9732379.068,NA,NA,NA,NA,0,1,0,1,0,NA
42,RDSA,42,324135.035,9730875.087,NA,NA,NA,NA,0,1,0,0,0,NA
43,RDSA,43,322238.134,9731405.824,NA,NA,NA,NA,0,0,0,0,0,NA
44,RDSA,44,324571.002,9728985.883,NA,NA,NA,NA,0,0,0,0,0,NA
45,RDSA,45,326716.905,9727560.894,NA,NA,NA,NA,0,0,1,0,0,NA
46,RDSA,46,326352.212,9729388.246,NA,NA,NA,NA,0,1,1,0,0,NA
47,RDSA,47,324971.244,9727214.957,NA,NA,NA,NA,0,0,0,0,0,NA
48,RDSA,48,323604.48,9723451.579,NA,NA,NA,NA,0,0,0,0,NA,NA
49,RDSA,49,319021.237,9731749.195,NA,NA,NA,NA,0,0,0,0,NA,NA
50,RDSA,50,326205.472,9730288.144,NA,NA,NA,NA,0,0,0,0,0,NA
51,REMJ,1012,2658220.534,1416291.545,0,0,0,NA,NA,NA,NA,NA,NA,NA
52,REMJ,1013,2658571.131,1416731.194,0,0,0,NA,NA,NA,NA,NA,NA,NA
53,REMJ,1014,2659519.256,1418075.44,0,0,0,NA,NA,NA,NA,NA,NA,NA
54,REMJ,1015,2661110.757,1419980.908,0,0,0,NA,NA,NA,NA,NA,NA,NA
55,REMJ,1021,2649580.947,1414550.082,0,0,0,NA,NA,NA,NA,NA,NA,NA
56,REMJ,1022,2649782.534,1414567.078,0,0,0,NA,NA,NA,NA,NA,NA,NA
57,REMJ,1023,2650348.255,1414732.262,0,0,0,NA,NA,NA,NA,NA,NA,NA
58,REMJ,1024,2651925.096,1415176.217,0,0,0,NA,NA,NA,NA,NA,NA,NA
59,REMJ,1025,2653964.135,1416326.874,0,0,0,NA,NA,NA,NA,NA,NA,NA
60,REMJ,1031,2665357.13,1417991.748,1,0,0,NA,NA,NA,NA,NA,NA,NA
61,REMJ,1032,2665373.687,1418143.862,0,0,0,NA,NA,NA,NA,NA,NA,NA
62,REMJ,1033,2665541.748,1418539.442,0,0,0,NA,NA,NA,NA,NA,NA,NA
63,REMJ,1034,2666046.558,1419734.121,0,0,0,NA,NA,NA,NA,NA,NA,NA
64,REMJ,1035,2667089.223,1421627.175,0,0,0,NA,NA,NA,NA,NA,NA,NA
65,REMJ,1041,2667425.11,1419077.714,0,0,0,NA,NA,NA,NA,NA,NA,NA
66,REMJ,1042,2667718.505,1419257.1,0,0,0,NA,NA,NA,NA,NA,NA,NA
67,REMJ,1043,2668291.797,1419481.63,0,0,0,NA,NA,NA,NA,NA,NA,NA
68,REMJ,1044,2670079.727,1420658.732,0,0,0,NA,NA,NA,NA,NA,NA,NA
69,REMJ,1045,2672732.978,1422410.684,0,0,0,NA,NA,NA,NA,NA,NA,NA
70,REMJ,1051,2644623.022,1399653.624,1,0,0,NA,NA,NA,NA,NA,NA,NA
71,REMJ,1052,2644268.784,1399412.87,1,0,0,NA,NA,NA,NA,NA,NA,NA
72,REMJ,1053,2643689.007,1399048.191,0,0,0,NA,NA,NA,NA,NA,NA,NA
73,REMJ,1054,2641924.205,1397843.475,1,0,0,NA,NA,NA,NA,NA,NA,NA
74,REMJ,1061,2633274.048,1396967.514,0,0,0,NA,NA,NA,NA,NA,NA,NA
75,REMJ,1062,2633034.989,1396794.038,0,0,1,NA,NA,NA,NA,NA,NA,NA
76,REMJ,1063,2632479.17,1396357.685,1,0,1,NA,NA,NA,NA,NA,NA,NA
77,REMJ,1064,2631788.731,1395479.843,0,0,0,NA,NA,NA,NA,NA,NA,NA
