,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,11,12,12,12,5,0,0,0,0,0
2,9,12,12,12,6,0,0,0,0,0
3,12,12,12,12,3,0,0,0,0,0
4,9,12,12,12,7,0,0,0,0,0
5,12,12,12,12,4,0,0,0,0,0
6,8,12,12,12,8,0,0,0,0,0
7,8,12,12,12,8,0,0,0,0,0
8,9,12,12,12,6,0,0,0,0,0
9,12,12,12,12,4,0,0,0,0,0
10,9,12,12,12,6,0,0,0,0,0
11,9,12,12,12,7,0,0,0,0,0
12,12,12,12,12,4,0,0,0,0,0
13,8,12,12,12,2,0,0,0,0,0
14,12,12,12,12,3,0,0,0,0,0
15,9,12,12,12,6,0,0,0,0,0
16,0,0,0,0,9,12,12,12,3,0
17,12,12,12,12,3,0,0,0,0,0
18,11,12,12,12,5,0,0,0,0,0
19,12,12,12,12,4,0,0,0,0,0
20,0,0,0,0,8,12,12,12,0,0
21,8,12,12,12,4,0,0,0,0,0
22,9,12,12,12,7,0,0,0,0,0
23,11,12,12,12,5,0,0,0,0,0
24,9,12,12,12,7,0,0,0,0,0
25,12,12,12,12,3,0,0,0,0,0
26,11,12,12,12,5,0,0,0,0,0
27,0,0,0,0,4,12,12,12,4,0
28,0,0,0,0,9,12,12,12,0,0
29,0,0,0,0,8,12,12,12,0,0
30,0,0,0,0,9,12,12,11,0,0
31,0,0,0,0,9,12,12,11,0,0
32,0,0,0,0,8,12,12,12,0,0
33,8,12,12,12,8,0,0,0,0,0
34,0,0,0,0,7,12,12,12,2,0
35,0,0,0,0,3,12,12,12,5,0
36,0,0,0,0,7,12,12,12,2,0
37,0,0,0,0,7,12,12,12,2,0
38,0,0,0,0,4,12,12,12,4,0
39,0,0,0,0,4,12,12,12,4,0
40,0,0,0,0,4,12,12,12,4,0
41,0,0,0,0,6,12,12,12,3,0
42,0,0,0,0,6,12,12,12,3,0
43,0,0,0,0,7,12,12,12,2,0
44,0,0,0,0,6,12,12,12,3,0
45,0,0,0,0,3,12,12,12,5,0
46,0,0,0,0,3,12,12,12,4,0
47,0,0,0,0,6,12,12,12,3,0
48,0,0,0,0,8,12,12,12,0,0
49,0,0,0,0,9,12,12,11,0,0
50,0,0,0,0,3,12,12,12,5,0
51,12,12,3,0,0,0,0,0,0,0
52,12,12,3,0,0,0,0,0,0,0
53,12,12,3,0,0,0,0,0,0,0
54,12,12,3,0,0,0,0,0,0,0
55,12,12,4,0,0,0,0,0,0,0
56,12,12,4,0,0,0,0,0,0,0
57,12,12,4,0,0,0,0,0,0,0
58,12,12,4,0,0,0,0,0,0,0
59,12,12,4,0,0,0,0,0,0,0
60,12,12,5,0,0,0,0,0,0,0
61,12,12,5,0,0,0,0,0,0,0
62,12,12,5,0,0,0,0,0,0,0
63,12,12,5,0,0,0,0,0,0,0
64,12,12,5,0,0,0,0,0,0,0
65,12,12,6,0,0,0,0,0,0,0
66,12,12,6,0,0,0,0,0,0,0
67,12,12,6,0,0,0,0,0,0,0
68,12,12,6,0,0,0,0,0,0,0
69,12,12,6,0,0,0,0,0,0,0
70,12,12,8,0,0,0,0,0,0,0
71,12,12,8,0,0,0,0,0,0,0
72,12,12,8,0,0,0,0,0,0,0
73,12,12,8,0,0,0,0,0,0,0
74,11,12,9,0,0,0,0,0,0,0
75,11,12,9,0,0,0,0,0,0,0
76,11,12,9,0,0,0,0,0,0,0
77,11,12,9,0,0,0,0,0,0,0
78,11,12,9,0,0,0,0,0,0,0
79,0,0,0,12,12,7,0,0,0,0
80,0,0,0,12,12,7,0,0,0,0
81,0,0,0,12,12,7,0,0,0,0
82,0,0,0,12,12,7,0,0,0,0
