kamera,region,dist_fluss,seehoehe,x,y
1,RDSA,1446.76157,136.8378378,-64.66026,-2.43865
2,RDSA,2389.425046,123.3470149,-64.6325,-2.51364
3,RDSA,1303.64004,117.3374083,-64.6355,-2.47573
4,RDSA,2801.580033,120.2576687,-64.64866,-2.52199
5,RDSA,4046.239652,141.5551471,-64.60734,-2.52016
6,RDSA,1738.5455,130.0098888,-64.67484,-2.47828
7,RDSA,1162.213146,133.3915737,-64.68134,-2.46056
8,RDSA,52.83468723,121.7425743,-64.64894,-2.48598
9,RDSA,182.365736,125.6749073,-64.6289,-2.49141
10,RDSA,4031.223832,114.6522277,-64.6218,-2.52592
11,RDSA,311.668903,115.7886279,-64.66358,-2.49269
12,RDSA,672.2305943,124.1488315,-64.61526,-2.49039
13,RDSA,45.3801355,105.0588957,-64.67551,-2.44547
14,RDSA,2472.992144,90.9161529,-64.63439,-2.44516
15,RDSA,742.1764454,122.6728167,-64.64214,-2.50099
16,RDSA,493.309975,122.8096415,-64.62042,-2.47485
17,RDSA,2079.778549,123.5302096,-64.64846,-2.44942
18,RDSA,373.0653552,115.8665019,-64.66284,-2.45619
19,RDSA,2252.607393,120.3953488,-64.61624,-2.50634
20,RDSA,2405.401634,124.7149938,-64.60247,-2.50333
21,RDSA,1629.723765,121.9581281,-64.62653,-2.46088
22,RDSA,1186.99527,131.8347719,-64.65899,-2.50923
23,RDSA,0,108.32134,-64.65794,-2.47167
24,RDSA,4225.198738,160.4154412,-64.6375,-2.53512
25,RDSA,1541.240111,121.0906863,-64.64505,-2.46281
26,RDSA,2840.678799,109.739777,-64.64622,-2.43277
27,RDSA,124.1902396,117.8388684,-64.58757,-2.48358
28,RDSA,418.5045331,157.9679408,-64.61612,-2.43888
29,RDSA,403.1834756,127.4538745,-64.6058,-2.48527
30,RDSA,0,114.4220297,-64.61049,-2.45346
31,RDSA,142.9316237,115.4378844,-64.60694,-2.46825
32,RDSA,2655.692419,88.41738066,-64.58644,-2.51885
33,RDSA,1803.477839,97.65432099,-64.69112,-2.45004
34,RDSA,0,121.4495074,-64.61189,-2.42136
35,RDSA,254.395299,131.5153752,-64.55707,-2.48155
36,RDSA,1805.380088,89.47542998,-64.59065,-2.46154
37,RDSA,1626.371289,124.1342365,-64.59384,-2.44563
38,RDSA,508.9488055,104.3189122,-64.56691,-2.5155
